id;nombre;ubigeo;descripcion
1;withdrawal alarm Timor-Leste;Personal Loan Account Inverse;Track
2;Books CSS Holy See (Vatican City State);Data Tasty Steel Pants Licensed Steel Shirt;Manor
3;Utah zero defect;bypass e-services;Russian Federation program
4;Practical;emulation SQL;Persevering Gorgeous Steel Salad Associate
5;Fantastic whiteboard;lavender;neural Cloned Massachusetts
6;SCSI Communications Underpass;Officer parse;Intuitive
7;quantifying Phased connecting;Automated;architect
8;lavender;copying primary invoice;EXE
9;Personal Loan Account Chile foreground;connect Zimbabwe Dollar;Forward
10;Pre-emptive Reduced;Kids Customer;Practical AI didactic
