id;nombre;descripcion;costo
1;local area network Benin;turn-key dedicated;24398
2;Strategist target;Investor users dot-com;64510
3;Libyan Dinar CSS;sensor;28077
4;Shoes deposit;Representative;46994
5;uniform PCI back up;Tactics architectures Planner;96361
6;SDD disintermediate reinvent;eco-centric Bedfordshire mesh;39469
7;calculating Intranet Ergonomic Concrete Soap;Director Concrete Bedfordshire;87737
8;program;Metal array France;29651
9;schemas Synergistic Personal Loan Account;Avon;50151
10;digital deposit;extend Unbranded Fresh Pants Tools;57886
