id;razon_social;direccion;ruc;telefono;correo;nombre_contacto;actividad;comentario;fecha_creacion;codigo_zona
1;analyzing holistic;Architect;Beauty dynamic schemas;Pound Sterling Keyboard;Licensed Usability models;Personal Loan Account markets;../data/blob/hipster.txt;../data/blob/hipster.txt;2019-07-12;EXE Rustic Steel Shirt drive
2;Ways Liaison engage;disintermediate Assistant generating;Practical Steel Shirt Plastic Movies;SMS;Zimbabwe parse Customer;input Accounts;../data/blob/hipster.txt;../data/blob/hipster.txt;2019-07-12;Ergonomic Falls
3;User-friendly;Savings Account;SMTP;Checking Account global Steel;Borders Springs connecting;SAS;../data/blob/hipster.txt;../data/blob/hipster.txt;2019-07-12;California PNG engage
4;Burg;transmit Credit Card Account;digital Corporate Checking Account;seamless New York mesh;Unbranded array;Berkshire solid state;../data/blob/hipster.txt;../data/blob/hipster.txt;2019-07-12;Home Loan Account
5;CFP Franc back-end Via;Buckinghamshire Business-focused Canyon;Investment Account frictionless orchid;Future-proofed Awesome;Creek;Shirt Metal;../data/blob/hipster.txt;../data/blob/hipster.txt;2019-07-12;Chicken
6;e-business RSS;Rand Soap;Automated;Pants even-keeled Chair;Brazil;Island cyan;../data/blob/hipster.txt;../data/blob/hipster.txt;2019-07-12;Bedfordshire
7;alliance Licensed Plaza;Sleek GB Regional;Home;primary quantify Chips;Guyana;Bedfordshire Auto Loan Account back-end;../data/blob/hipster.txt;../data/blob/hipster.txt;2019-07-12;bypass Games Customer-focused
8;Bond Markets Units European Composite Unit (EURCO) connecting generate;Refined;back-end enhance;optimal;Chair Kentucky;blue internet solution Concrete;../data/blob/hipster.txt;../data/blob/hipster.txt;2019-07-12;Investment Account Indian Rupee
9;withdrawal Club Nebraska;Nevada quantify architectures;empower;customized payment;Grass-roots Cambridgeshire;Personal Loan Account;../data/blob/hipster.txt;../data/blob/hipster.txt;2019-07-13;Intelligent
10;24/7;Pizza blue;digital;Internal;Sleek Steel Shirt;Strategist Fresh incubate;../data/blob/hipster.txt;../data/blob/hipster.txt;2019-07-12;TCP parsing Networked
