id;nombre;ubigeo;descripcion
1;Tunnel;Configuration;Jewelery monitoring Infrastructure
2;Gorgeous ROI implement;Saint Helena Pound;Borders
3;Integration;Bond Markets Units European Composite Unit (EURCO);Facilitator
4;Cambridgeshire;Borders Internal;open-source Ouguiya
5;AGP circuit;optical deposit;Pizza Fish next-generation
6;UIC-Franc;Generic El Salvador Colon US Dollar purple;XSS RSS Outdoors
7;Music copying Reduced;Chair connecting synthesizing;Adaptive black
8;Money Market Account;New York Concrete expedite;Solomon Islands
9;Wooden radical Beauty;Facilitator 24/365;Sausages bypass
10;Directives Baht Tasty Plastic Keyboard;bypass hard drive Hollow;Checking Account
